object,count
building,57
drink,32
tin can,30
bottle,30
poster,20
book,14
box,14
man,13
car,9
clothing,8
billboard,7
mug,7
house,7
shelf,6
home appliance,6
convenience store,6
table,6
snack,6
kitchen appliance,5
person,5
woman,5
rose,5
beer,5
coffee cup,5
truck,4
food,4
tableware,4
teapot,4
picture frame,3
tent,3
bus,3
land vehicle,3
bookcase,3
wine,2
toy,2
personal care,2
coffeemaker,2
human face,2
train,2
kettle,2
whiteboard,2
swim cap,2
window,2
slow cooker,1
wall clock,1
vegetable,1
van,1
tower,1
umbrella,1
traffic sign,1
airplane,1
scarf,1
refrigerator,1
balloon,1
boat,1
boy,1
cat,1
cocktail,1
coffee,1
cookie,1
cream,1
dairy,1
envelope,1
flag,1
flower,1
girl,1
houseplant,1
human arm,1
human hand,1
baked goods,1
office building,1
office supplies,1
jug,1
