object,count
poster,45
man,25
watch,19
book,16
clothing,14
person,12
woman,11
mobile phone,7
billboard,6
box,6
house,5
car,5
computer monitor,5
spice rack,5
building,4
plant,4
human hand,4
drink,3
bookcase,3
land vehicle,3
suit,3
laptop,3
mammal,2
wine,2
barrel,2
table,2
shirt,2
plastic bag,2
shelf,2
auto part,2
bottle,2
human body,2
high heels,2
food,2
tin can,2
digital clock,2
desk,2
clock,2
whiteboard,2
television,1
scoreboard,1
tool,1
umbrella,1
vehicle,1
vehicle registration plate,1
tablet computer,1
animal,1
plate,1
picture frame,1
oyster,1
office supplies,1
office building,1
footwear,1
fashion accessory,1
drawer,1
door,1
dairy,1
convenience store,1
computer keyboard,1
calculator,1
bus,1
balloon,1
infant bed,1
