object,count
building,35
traffic sign,25
poster,23
bus,19
man,11
book,10
house,9
skyscraper,7
clothing,6
person,5
bottle,4
beer,4
computer monitor,4
vehicle,4
billboard,3
plant,3
land vehicle,3
tower,3
street light,3
woman,3
shelf,3
bookcase,3
car,3
dress,2
drink,2
girl,2
vehicle registration plate,2
mammal,2
boy,2
suit,1
van,1
television,1
tire,1
toy,1
watercraft,1
wheel,1
window,1
wine,1
sculpture,1
airplane,1
platter,1
plate,1
boat,1
box,1
cattle,1
coffee cup,1
coin,1
convenience store,1
desk,1
dinosaur,1
hat,1
human body,1
jug,1
auto part,1
mobile phone,1
mug,1
picture frame,1
laptop,1
