object,count
poster,174
man,72
book,68
clothing,61
woman,46
building,43
person,42
car,20
whiteboard,16
billboard,11
girl,11
laptop,10
bottle,10
mobile phone,9
boy,9
human body,9
convenience store,6
beer,5
computer monitor,5
suit,5
bookcase,5
television,5
plant,4
mammal,4
skyscraper,4
snack,4
house,4
picture frame,4
truck,4
window,4
table,3
drink,3
bus,3
human face,3
van,3
shelf,3
wine,3
tablet computer,3
personal care,3
tent,3
tin can,3
cake,2
office supplies,2
motorcycle,2
envelope,2
tower,2
watch,2
vehicle,2
food,2
toy,2
scoreboard,1
weapon,1
stairs,1
scale,1
vegetable,1
train,1
plate,1
vehicle registration plate,1
airplane,1
palm tree,1
office building,1
auto part,1
bicycle helmet,1
bowl,1
camera,1
cat,1
cheese,1
coffee cup,1
coin,1
desk,1
dessert,1
door,1
dress,1
fashion accessory,1
fast food,1
flag,1
flower,1
flowerpot,1
houseplant,1
human arm,1
human hair,1
infant bed,1
alpaca,1
land vehicle,1
lavender,1
mug,1
ipod,1
