object,count
poster,464
book,257
building,182
man,170
clothing,107
person,104
woman,67
billboard,64
bookcase,38
shelf,37
car,34
plant,28
television,21
bottle,21
computer monitor,20
house,18
girl,17
suit,16
mammal,16
human body,15
tablet computer,13
airplane,12
land vehicle,12
convenience store,12
boy,11
toy,11
office building,11
boat,10
table,10
beer,9
flag,9
truck,9
whiteboard,9
picture frame,9
snack,9
tin can,8
mobile phone,8
drink,8
human arm,8
window,7
wine,7
vehicle,7
van,6
laptop,5
desk,5
human face,5
mug,5
tower,5
box,5
furniture,5
bus,5
skyscraper,4
auto part,4
balloon,4
sports uniform,4
watercraft,4
rose,4
suitcase,3
jacket,3
human head,3
watch,3
aircraft,3
guitar,3
coffee cup,3
football,3
curtain,3
dinosaur,3
dress,3
horse,2
bicycle,2
tie,2
towel,2
cake,2
coat,2
train,2
saucer,2
camera,2
belt,2
motorcycle,2
flower,2
food,2
jeans,2
waste container,1
bread,1
tent,1
baked goods,1
calculator,1
ball,1
wheel,1
baseball bat,1
traffic sign,1
bench,1
tripod,1
bow and arrow,1
tea,1
bird,1
hat,1
tableware,1
candle,1
human hair,1
hand dryer,1
golf ball,1
french fries,1
fax,1
palm tree,1
parachute,1
door,1
piano,1
dessert,1
coin,1
scoreboard,1
coffee,1
christmas tree,1
handbag,1
canoe,1
swimming pool,1
sword,1
cannon,1
chair,1
