object,count
poster,124
book,95
building,59
person,46
man,43
clothing,38
woman,34
car,14
girl,12
billboard,12
computer monitor,10
mobile phone,9
whiteboard,8
house,7
convenience store,7
bookcase,6
bottle,6
laptop,6
drink,6
skyscraper,6
human body,5
train,5
plant,5
toy,5
shelf,5
box,5
picture frame,4
office building,4
bus,4
boy,4
television,4
tablet computer,3
wheel,3
table,3
sports uniform,3
land vehicle,3
sculpture,2
coffee cup,2
wine,2
food,2
tin can,2
flower,2
tower,2
traffic sign,2
milk,2
van,2
bird,1
street light,1
boat,1
tank,1
stairs,1
bowling equipment,1
snack,1
bronze sculpture,1
tableware,1
furniture,1
bicycle,1
cabinetry,1
beer,1
truck,1
vehicle,1
watch,1
barrel,1
auto part,1
window,1
bench,1
rifle,1
scoreboard,1
fruit,1
guitar,1
human arm,1
human face,1
human hand,1
knife,1
animal,1
egg,1
mammal,1
dress,1
desk,1
moths and butterflies,1
mug,1
musical keyboard,1
countertop,1
office supplies,1
parking meter,1
computer keyboard,1
castle,1
plastic bag,1
cake,1
reptile,1
airplane,1
