object,count
building,23
car,14
poster,12
guitar,12
house,8
book,6
camera,6
man,6
land vehicle,6
table,3
billboard,3
wheel,3
person,3
mobile phone,3
microwave oven,3
furniture,3
truck,2
tire,2
pumpkin,2
motorcycle,2
auto part,2
woman,2
bicycle wheel,2
bookcase,2
boy,2
calculator,2
convenience store,2
clothing,2
handgun,1
picture frame,1
whiteboard,1
van,1
television,1
suit,1
carnivore,1
plant,1
computer monitor,1
high heels,1
oven,1
necklace,1
musical instrument,1
dairy,1
door,1
drink,1
frog,1
insect,1
human body,1
bicycle,1
girl,1
human arm,1
