object,count
poster,145
book,80
building,63
man,48
clothing,41
woman,30
person,29
car,29
house,22
girl,18
tin can,15
bottle,15
land vehicle,14
drink,13
plant,11
billboard,11
sports uniform,10
bus,10
boy,9
snack,8
box,8
computer monitor,6
human body,6
slow cooker,5
auto part,5
musical instrument,5
table,5
convenience store,5
traffic sign,5
truck,5
picture frame,5
boat,5
whiteboard,5
office building,5
mammal,5
guitar,4
beer,4
door,4
toy,4
shelf,4
palm tree,3
scoreboard,3
mobile phone,3
tool,3
motorcycle,3
dress,3
human hand,2
airplane,2
wheel,2
vehicle,2
bookcase,2
tower,2
camera,2
television,2
sculpture,2
cosmetics,2
sandwich,2
pressure cooker,2
adhesive tape,2
home appliance,2
laptop,2
flag,2
doll,1
jacket,1
tent,1
candy,1
tire,1
ball,1
human hair,1
barrel,1
van,1
vehicle registration plate,1
cannon,1
wall clock,1
washing machine,1
watch,1
watercraft,1
ipod,1
blender,1
window,1
wine,1
aircraft,1
suit,1
parking meter,1
street light,1
dinosaur,1
desk,1
pizza,1
cream,1
porch,1
office supplies,1
refrigerator,1
hair dryer,1
scale,1
handbag,1
mixer,1
serving tray,1
coffee,1
human head,1
clock,1
christmas tree,1
sports equipment,1
cart,1
stairs,1
skyscraper,1
