object,count
book,74
poster,64
man,23
clothing,23
person,14
woman,12
building,11
bottle,9
shelf,9
laptop,6
drink,5
car,5
computer monitor,4
mobile phone,4
girl,4
furniture,4
picture frame,4
whiteboard,4
boy,4
bookcase,4
wine,3
suit,3
cabinetry,3
house,2
jacket,2
auto part,2
lobster,2
computer keyboard,2
luggage and bags,2
fish,2
flower,2
milk,2
taxi,2
plant,2
land vehicle,2
window,1
wine rack,1
plastic bag,1
pillow,1
tool,1
refrigerator,1
wheel,1
rifle,1
rose,1
vehicle registration plate,1
tin can,1
tire,1
vehicle,1
snack,1
airplane,1
parrot,1
countertop,1
beer,1
billboard,1
bird,1
boat,1
box,1
butterfly,1
coat,1
coffee cup,1
convenience store,1
cupboard,1
office building,1
desk,1
dog,1
doll,1
envelope,1
flowerpot,1
houseplant,1
human body,1
motorcycle,1
necklace,1
human head,1
