object,count
poster,95
book,29
person,22
building,21
man,19
clothing,19
computer monitor,12
woman,12
television,9
table,9
billboard,7
camera,5
tableware,4
girl,4
mobile phone,4
office supplies,3
human body,3
toy,3
mammal,3
laptop,3
auto part,3
car,2
suit,2
truck,2
house,2
plant,2
office building,2
tent,1
elephant,1
tablet computer,1
corded phone,1
cake,1
tire,1
sports equipment,1
tool,1
coffee cup,1
train,1
washing machine,1
whiteboard,1
sports uniform,1
houseplant,1
slow cooker,1
jacket,1
scarf,1
furniture,1
picture frame,1
piano,1
bookcase,1
chair,1
musical keyboard,1
hat,1
baked goods,1
home appliance,1
land vehicle,1
lamp,1
kitchen appliance,1
sculpture,1
