object,count
poster,62
building,35
mobile phone,29
computer monitor,23
man,20
book,17
tablet computer,15
television,14
person,14
whiteboard,10
laptop,9
clothing,7
house,7
woman,6
ipod,5
car,5
camera,5
billboard,4
box,3
door,3
bookcase,3
bus,3
mammal,2
office supplies,2
plant,2
window,2
picture frame,2
human body,2
porch,1
waste container,1
truck,1
shelf,1
table,1
van,1
beer,1
office building,1
luggage and bags,1
land vehicle,1
human hand,1
human arm,1
headphones,1
girl,1
furniture,1
dress,1
computer keyboard,1
boy,1
bottle,1
jeans,1
