object,count
poster,31
person,10
book,9
building,9
woman,8
clothing,6
man,6
house,4
computer monitor,4
laptop,3
window,2
truck,2
tablet computer,2
flag,2
coin,2
girl,2
billboard,2
car,2
candy,2
bottle,2
boy,2
bench,1
sculpture,1
snack,1
stairs,1
street light,1
sun hat,1
table,1
chair,1
teddy bear,1
plant,1
television,1
beer,1
vehicle,1
vehicle registration plate,1
whiteboard,1
backpack,1
wine,1
telephone,1
pastry,1
picture frame,1
flower,1
cocktail,1
convenience store,1
desk,1
dessert,1
egg,1
fedora,1
camera,1
food,1
boat,1
auto part,1
hiking equipment,1
bread,1
human hair,1
jacuzzi,1
land vehicle,1
cat,1
airplane,1
