object,count
poster,74
clothing,28
man,28
book,25
building,21
woman,20
whiteboard,14
person,12
mobile phone,9
land vehicle,9
billboard,8
tablet computer,8
girl,7
table,6
computer monitor,5
laptop,5
plant,4
house,4
car,4
van,4
bookcase,3
shirt,3
shelf,3
sports uniform,3
tire,3
office building,3
bottle,3
bicycle,3
human body,3
mammal,3
wheel,2
vehicle,2
truck,2
airplane,2
computer keyboard,2
box,2
furniture,2
bus,2
camera,2
suit,1
window,1
bicycle helmet,1
bicycle wheel,1
boy,1
toy,1
cake,1
taxi,1
tank,1
coffee cup,1
human hand,1
beer,1
curtain,1
desk,1
pumpkin,1
dress,1
drink,1
personal care,1
frying pan,1
mug,1
motorcycle,1
handgun,1
helmet,1
human hair,1
