object,count
building,145
poster,140
man,82
book,71
clothing,53
house,52
person,45
woman,36
car,16
window,16
billboard,16
plant,14
girl,11
land vehicle,10
bus,10
bookcase,8
mammal,7
table,7
skyscraper,7
boy,7
sculpture,6
camera,6
bottle,6
mobile phone,6
suit,5
vehicle,5
tower,5
human body,4
whiteboard,4
boat,4
picture frame,4
train,4
door,4
computer monitor,4
shelf,4
television,4
bicycle helmet,3
convenience store,3
bicycle,3
drink,3
balloon,3
beer,3
stairs,3
toy,3
flag,3
wine,3
laptop,3
auto part,2
jeans,2
ruler,2
porch,2
motorcycle,2
office building,2
sports uniform,2
canoe,2
tent,2
truck,2
wheel,2
watercraft,2
cosmetics,2
desk,2
dress,2
flower,2
food,2
human arm,2
snack,2
human face,2
horse,2
tire,2
waste container,1
snowman,1
tin can,1
watch,1
wine rack,1
vehicle registration plate,1
tablet computer,1
traffic sign,1
vegetable,1
van,1
tie,1
teddy bear,1
surfboard,1
airplane,1
shark,1
furniture,1
ball,1
bicycle wheel,1
billiard table,1
bird,1
clock,1
computer keyboard,1
cucumber,1
curtain,1
dairy,1
drawer,1
envelope,1
filing cabinet,1
fountain,1
glove,1
rose,1
gondola,1
guitar,1
high heels,1
houseplant,1
human head,1
jacket,1
kitchen appliance,1
measuring cup,1
microwave oven,1
muffin,1
office supplies,1
owl,1
pillow,1
lamp,1
