object,count
calculator,18
mobile phone,15
poster,14
book,13
person,10
clothing,5
building,5
man,4
computer monitor,4
traffic sign,4
woman,4
bookcase,4
bottle,3
wine,2
plant,2
tablet computer,2
table,2
furniture,2
whiteboard,2
shelf,2
laptop,2
truck,1
skateboard,1
window,1
scoreboard,1
suit,1
skyscraper,1
snack,1
stop sign,1
train,1
tableware,1
tire,1
wheel,1
television,1
banjo,1
pizza,1
office supplies,1
bicycle,1
bicycle wheel,1
billboard,1
boat,1
bus,1
camera,1
car,1
dessert,1
dress,1
fashion accessory,1
food,1
footwear,1
girl,1
human body,1
human hand,1
ipod,1
land vehicle,1
beer,1
medical equipment,1
mammal,1
