object,count
poster,436
book,270
man,128
building,107
clothing,105
person,84
woman,62
scoreboard,39
parking meter,34
billboard,34
mobile phone,32
human body,26
girl,26
whiteboard,23
bottle,22
laptop,21
bookcase,20
car,18
table,17
snack,16
computer monitor,16
land vehicle,15
plant,15
drink,15
television,15
shelf,15
mammal,13
boy,13
house,11
beer,10
traffic sign,10
boat,9
human face,9
tablet computer,9
picture frame,8
coffee cup,8
convenience store,8
wall clock,8
bus,8
box,8
auto part,7
digital clock,7
suit,7
tin can,7
toy,5
door,5
window,5
human arm,5
skyscraper,5
microwave oven,5
guitar,5
mug,5
vehicle,5
watch,4
oven,4
rose,4
remote control,4
street light,4
truck,4
stairs,4
airplane,4
clock,4
stop sign,3
wine,3
flag,3
calculator,3
flower,3
jacket,3
office building,3
food,3
dinosaur,2
coffee,2
sports uniform,2
ipod,2
drum,2
chair,2
cat,2
sunglasses,2
teddy bear,2
tower,2
train,2
watermelon,2
dress,2
coat,2
office supplies,2
fashion accessory,2
jeans,2
juice,2
human hand,2
helicopter,2
pillow,1
lifejacket,1
tool,1
towel,1
cake stand,1
cake,1
human head,1
treadmill,1
butterfly,1
van,1
umbrella,1
camera,1
bicycle wheel,1
vehicle registration plate,1
bicycle,1
washing machine,1
bed,1
wheel,1
baked goods,1
animal,1
tent,1
teapot,1
alarm clock,1
pitcher,1
piano,1
fast food,1
ring binder,1
dairy,1
sandwich,1
cosmetics,1
sculpture,1
coin,1
skull,1
palm tree,1
slow cooker,1
organ,1
furniture,1
medical equipment,1
home appliance,1
human hair,1
castle,1
carnivore,1
tableware,1
tank,1
taxi,1
lobster,1
