object,count
poster,33
book,32
clothing,16
person,14
building,14
man,13
woman,7
food,7
human body,6
car,6
picture frame,5
whiteboard,5
tablet computer,4
table,3
bottle,3
toy,2
house,2
office building,2
drink,2
door,2
wine,2
computer keyboard,2
platter,1
skyscraper,1
sandwich,1
shelf,1
shirt,1
window,1
vehicle,1
spice rack,1
spoon,1
sports equipment,1
truck,1
tin can,1
wall clock,1
plate,1
tower,1
trousers,1
tool,1
auto part,1
plant,1
office supplies,1
boat,1
box,1
bus,1
castle,1
cat,1
coin,1
convenience store,1
earrings,1
fashion accessory,1
fish,1
furniture,1
home appliance,1
human arm,1
human face,1
land vehicle,1
laptop,1
mammal,1
microphone,1
billboard,1
motorcycle,1
musical instrument,1
mobile phone,1
