object,count
poster,68
man,56
clothing,54
woman,42
person,29
building,12
billboard,11
book,7
human body,6
girl,5
plant,5
human face,5
mammal,4
office supplies,4
window,4
jacket,4
table,4
flag,3
office building,3
laptop,2
boy,2
desk,2
car,2
shelf,1
skyscraper,1
suit,1
taxi,1
tent,1
truck,1
van,1
vehicle,1
wheelchair,1
snack,1
auto part,1
land vehicle,1
door,1
bookcase,1
bus,1
cat,1
convenience store,1
cowboy hat,1
dog,1
fast food,1
kangaroo,1
flower,1
food,1
furniture,1
golf cart,1
human hair,1
human nose,1
human hand,1
