object,count
poster,177
building,153
man,141
clothing,111
car,83
person,73
woman,69
bottle,46
book,40
house,28
billboard,22
drink,20
golf cart,19
girl,19
land vehicle,19
golf ball,17
plant,16
human body,14
boy,13
sports uniform,12
boat,12
mammal,11
beer,11
bookcase,8
table,7
truck,7
bus,7
shelf,6
mobile phone,5
ball,5
barrel,5
picture frame,5
human arm,5
door,5
chair,4
computer monitor,4
van,4
snack,4
cosmetics,4
baked goods,3
scoreboard,3
wine,3
jacket,3
tent,3
tin can,3
convenience store,3
human face,3
window,3
suit,3
toy,3
food,3
vehicle,3
cocktail,3
office building,2
countertop,2
curtain,2
sculpture,2
pumpkin,2
auto part,2
vehicle registration plate,2
drinking straw,2
airplane,2
television,2
furniture,2
watercraft,2
taxi,1
umbrella,1
trousers,1
vegetable,1
wine glass,1
teddy bear,1
train,1
swimwear,1
watch,1
sun hat,1
whiteboard,1
accordion,1
sports equipment,1
drum,1
backpack,1
bicycle,1
cake,1
calculator,1
chest of drawers,1
clock,1
coin,1
desk,1
dessert,1
dolphin,1
fast food,1
skyscraper,1
flag,1
flower,1
guitar,1
human hand,1
human nose,1
juice,1
laptop,1
motorcycle,1
perfume,1
sandwich,1
human hair,1
