object,count
building,286
poster,183
man,77
billboard,47
person,45
house,39
clothing,37
woman,29
plant,22
car,20
suit,19
office building,18
book,16
girl,15
mobile phone,14
bus,13
convenience store,13
human body,13
window,12
traffic sign,12
scoreboard,10
skyscraper,10
van,10
computer monitor,9
mammal,8
land vehicle,8
truck,6
tablet computer,6
table,6
vehicle registration plate,5
porch,4
tower,4
snack,4
vehicle,4
toy,4
ambulance,4
television,3
helicopter,3
cart,3
whiteboard,3
picture frame,3
boat,3
medical equipment,2
waste container,2
boy,2
human face,2
human arm,2
houseplant,2
guitar,2
furniture,2
fountain,2
door,2
train,2
tank,1
street light,1
sports uniform,1
tent,1
tin can,1
shirt,1
aircraft,1
rose,1
rifle,1
auto part,1
backpack,1
ball,1
balloon,1
box,1
cat,1
chair,1
desk,1
dress,1
drum,1
food,1
fox,1
home appliance,1
human hair,1
human hand,1
human head,1
airplane,1
limousine,1
mug,1
office supplies,1
palm tree,1
laptop,1
