object,count
poster,51
book,30
man,23
building,20
boat,14
clothing,14
person,12
woman,7
car,6
house,6
watercraft,4
mobile phone,4
bus,4
window,4
sports uniform,4
vehicle,3
boy,3
toy,2
bicycle,2
human body,2
girl,2
table,2
tent,2
traffic sign,2
computer monitor,2
computer keyboard,2
whiteboard,2
desk,2
tableware,1
truck,1
office supplies,1
snack,1
skull,1
shelf,1
vehicle registration plate,1
wall clock,1
piano,1
weapon,1
airplane,1
office building,1
musical keyboard,1
baked goods,1
boot,1
bottle,1
box,1
cake,1
candy,1
convenience store,1
door,1
drink,1
drum,1
fashion accessory,1
flag,1
food,1
football helmet,1
auto part,1
jacket,1
land vehicle,1
laptop,1
maple,1
human face,1
