object,count
poster,59
book,23
person,19
man,19
clothing,18
building,17
woman,14
girl,7
billboard,6
land vehicle,6
plant,4
auto part,4
tin can,4
car,3
houseplant,3
bottle,3
drink,3
table,2
tablet computer,2
christmas tree,2
human body,2
house,2
hat,2
digital clock,2
convenience store,2
boy,2
tent,1
tableware,1
shelf,1
toy,1
train,1
sports uniform,1
sports equipment,1
watch,1
snack,1
vehicle registration plate,1
skyscraper,1
airplane,1
scoreboard,1
rose,1
picture frame,1
palm tree,1
office building,1
mobile phone,1
maple,1
jacket,1
human hand,1
footwear,1
fashion accessory,1
computer monitor,1
computer keyboard,1
bird,1
mammal,1
