object,count
building,519
poster,290
house,121
man,89
window,78
billboard,64
clothing,64
person,62
book,57
door,57
woman,31
car,28
mobile phone,23
whiteboard,23
plant,20
human body,19
convenience store,18
bus,17
land vehicle,17
office building,14
vehicle,14
laptop,14
computer monitor,13
skyscraper,13
snack,13
table,13
girl,13
bottle,12
auto part,11
dairy,9
mammal,9
shelf,9
desk,7
porch,7
box,7
truck,7
traffic sign,6
wine,6
scoreboard,6
airplane,6
bicycle,6
camera,5
suit,5
boy,5
computer keyboard,4
washing machine,4
tablet computer,4
telephone,4
bookcase,4
van,4
toy,4
wheel,4
baked goods,4
office supplies,3
picture frame,3
television,3
chair,3
jacket,3
cosmetics,3
drink,3
rose,3
tin can,3
tennis ball,2
motorcycle,2
calculator,2
sports equipment,2
balloon,2
dress,2
furniture,2
tent,2
shirt,2
barrel,2
tower,2
corded phone,2
human arm,2
horse,2
fire hydrant,2
train,2
beer,2
sports uniform,1
snowmobile,1
dinosaur,1
squirrel,1
swimming pool,1
syringe,1
boat,1
sculpture,1
tire,1
bicycle wheel,1
watch,1
watercraft,1
bread,1
personal care,1
bust,1
golf ball,1
ambulance,1
houseplant,1
home appliance,1
hat,1
handbag,1
guitar,1
countertop,1
ring binder,1
food,1
flower,1
fish,1
fast food,1
fashion accessory,1
falcon,1
jeans,1
coffee cup,1
lemon,1
lighthouse,1
lizard,1
cat,1
mechanical fan,1
castle,1
muffin,1
mug,1
musical instrument,1
cart,1
pastry,1
digital clock,1
plate,1
cake,1
cabinetry,1
human head,1
