object,count
poster,70
book,61
bottle,41
beer,22
snack,16
person,15
man,13
bookcase,11
wine,10
shelf,9
building,8
tin can,8
convenience store,7
drink,6
clothing,6
food,5
plant,4
picture frame,4
billboard,3
woman,3
dessert,3
boat,3
bus,3
cosmetics,3
candy,3
whiteboard,2
human body,2
girl,2
truck,2
guitar,2
land vehicle,2
house,2
coffee,2
mug,2
window,1
teddy bear,1
soap dispenser,1
spice rack,1
toaster,1
television,1
boy,1
toy,1
scoreboard,1
vehicle,1
train,1
pineapple,1
saucer,1
juice,1
hat,1
home appliance,1
human arm,1
human face,1
human hair,1
jacket,1
computer monitor,1
rose,1
mobile phone,1
coffee cup,1
picnic basket,1
dairy,1
chair,1
car,1
human hand,1
