object,count
poster,144
building,73
book,64
man,59
computer keyboard,38
clothing,38
woman,30
person,28
car,26
bottle,18
laptop,17
land vehicle,16
computer monitor,14
house,12
girl,11
billboard,11
human body,10
camera,9
television,9
mammal,9
convenience store,9
table,9
bus,8
auto part,8
plant,8
mobile phone,8
shelf,7
truck,6
office supplies,6
suit,6
whiteboard,6
drink,6
van,6
toy,5
office building,5
beer,5
tablet computer,5
bookcase,4
window,4
airplane,4
vehicle,4
desk,4
wine,3
boy,3
traffic sign,3
fashion accessory,3
vehicle registration plate,3
box,3
train,3
snack,3
spice rack,2
dress,2
animal,2
picture frame,2
remote control,2
shirt,2
doll,2
scoreboard,2
tire,2
boat,2
cassette deck,2
food,2
glasses,2
watch,2
guitar,2
tin can,2
home appliance,2
wheel,2
tent,1
tower,1
telephone,1
sewing machine,1
sports equipment,1
sports uniform,1
tripod,1
stairs,1
sun hat,1
aircraft,1
sculpture,1
fish,1
ambulance,1
ball,1
balloon,1
banana,1
bicycle wheel,1
bird,1
corded phone,1
cream,1
dessert,1
digital clock,1
door,1
face powder,1
fast food,1
furniture,1
saucer,1
handgun,1
helicopter,1
human arm,1
jug,1
lobster,1
luggage and bags,1
mixer,1
motorcycle,1
musical instrument,1
parking meter,1
penguin,1
printer,1
refrigerator,1
lighthouse,1
