object,count
poster,38
building,27
man,23
book,14
clothing,12
woman,10
person,10
car,6
billboard,6
human body,4
bookcase,3
whiteboard,3
computer monitor,3
convenience store,3
house,3
girl,2
office building,2
suit,2
toy,2
binoculars,2
boat,2
desk,2
tower,1
sun hat,1
window,1
stairs,1
van,1
umbrella,1
swimwear,1
tool,1
table,1
traffic sign,1
television,1
skyscraper,1
tie,1
snack,1
airplane,1
shelf,1
flower,1
bicycle,1
boy,1
cake,1
dairy,1
door,1
dress,1
food,1
plant,1
fountain,1
goggles,1
human face,1
baked goods,1
laptop,1
picture frame,1
land vehicle,1
