object,count
poster,24
man,20
clothing,14
building,12
person,11
woman,8
snack,6
book,6
boy,5
girl,4
toilet paper,4
paper towel,4
human body,4
land vehicle,3
house,3
bicycle,3
train,2
candy,2
human arm,2
car,2
bottle,2
truck,2
treadmill,2
tin can,2
bus,2
tire,1
sports uniform,1
table,1
tent,1
fashion accessory,1
shirt,1
van,1
watch,1
wheel,1
whiteboard,1
window,1
wine,1
camera,1
boat,1
salad,1
jacket,1
food,1
drink,1
guitar,1
couch,1
cosmetics,1
human hand,1
bookcase,1
fast food,1
mammal,1
bicycle wheel,1
mobile phone,1
musical instrument,1
personal care,1
plastic bag,1
musical keyboard,1
