object,count
building,195
poster,102
bus,67
house,42
book,27
person,23
billboard,20
clothing,19
man,18
train,17
car,15
computer monitor,11
plant,10
woman,10
skyscraper,8
traffic sign,7
whiteboard,7
auto part,7
convenience store,6
land vehicle,6
window,6
van,5
television,5
tower,5
office building,5
shelf,5
door,5
ring binder,4
furniture,4
drink,4
picture frame,3
girl,3
cart,3
snack,3
truck,3
table,3
vehicle,2
scoreboard,2
wall clock,2
toy,2
mobile phone,2
airplane,2
bottle,2
bookcase,2
laptop,2
chair,2
desk,2
bread,2
box,2
cassette deck,2
bird,1
bicycle,1
camera,1
waste container,1
boy,1
watercraft,1
baked goods,1
cake,1
animal,1
tent,1
wine,1
mammal,1
swimwear,1
stop sign,1
clock,1
digital clock,1
doughnut,1
dragonfly,1
plate,1
flag,1
food,1
personal care,1
home appliance,1
parking meter,1
office supplies,1
human hand,1
ambulance,1
human head,1
