object,count
building,73
computer keyboard,67
laptop,43
poster,40
person,25
traffic sign,23
house,23
book,21
man,19
remote control,16
bus,14
car,13
mobile phone,13
television,12
calculator,11
clothing,9
computer monitor,9
plant,9
office supplies,8
billboard,8
woman,6
door,5
street light,5
girl,4
land vehicle,3
motorcycle,3
taxi,3
window,3
skyscraper,3
mammal,3
corded phone,3
airplane,2
camera,2
vehicle,2
auto part,2
train,2
slow cooker,1
snack,1
sports uniform,1
stop sign,1
coffee cup,1
tablet computer,1
coffee,1
tin can,1
tent,1
shelf,1
boy,1
truck,1
watch,1
watercraft,1
whiteboard,1
bicycle,1
convenience store,1
human face,1
sculpture,1
mug,1
human hand,1
human head,1
jacket,1
human body,1
human arm,1
home appliance,1
helicopter,1
hat,1
musical keyboard,1
human hair,1
office building,1
food,1
palm tree,1
penguin,1
flag,1
picture frame,1
drink,1
doll,1
scoreboard,1
