object,count
poster,77
book,43
man,30
clothing,25
building,20
person,19
woman,14
girl,7
billboard,6
mammal,5
whiteboard,4
house,4
plant,3
balloon,3
land vehicle,3
truck,3
car,3
motorcycle,2
tablet computer,2
mobile phone,2
van,2
snack,2
laptop,2
human body,2
computer monitor,2
human leg,2
jacket,1
curtain,1
window,1
bottle,1
watercraft,1
vehicle,1
boy,1
tent,1
convenience store,1
table,1
sun hat,1
suit,1
skyscraper,1
scoreboard,1
digital clock,1
door,1
piano,1
dress,1
office building,1
fedora,1
guitar,1
medical equipment,1
headphones,1
human head,1
aircraft,1
