object,count
poster,54
building,49
book,21
man,19
clothing,16
person,12
house,12
woman,11
computer monitor,6
billboard,5
girl,4
office building,3
toy,3
plant,3
laptop,2
tablet computer,2
television,2
headphones,2
vehicle,2
door,2
tower,1
traffic sign,1
tent,1
bottle,1
train,1
table,1
suit,1
stairs,1
skyscraper,1
bookcase,1
window,1
picture frame,1
cassette deck,1
palm tree,1
guitar,1
doll,1
dress,1
drinking straw,1
fish,1
food,1
furniture,1
home appliance,1
convenience store,1
bus,1
human body,1
boy,1
box,1
microphone,1
mobile phone,1
jacket,1
