object,count
poster,75
man,25
person,16
building,14
book,13
woman,11
clothing,10
whiteboard,9
human body,8
land vehicle,7
table,6
car,5
truck,4
office building,4
shelf,3
suit,3
girl,3
airplane,3
human hand,3
boat,3
plant,2
bookcase,2
house,2
computer mouse,2
computer monitor,2
bottle,2
beer,2
tablet computer,1
billboard,1
bicycle,1
van,1
television,1
vehicle,1
vehicle registration plate,1
animal,1
window,1
skyscraper,1
flag,1
shark,1
furniture,1
picture frame,1
office supplies,1
cake,1
mobile phone,1
computer keyboard,1
mammal,1
human hair,1
desk,1
digital clock,1
aircraft,1
