object,count
poster,62
clothing,45
man,41
woman,36
bottle,16
building,15
girl,11
car,11
book,9
bus,8
billboard,8
auto part,7
van,7
truck,6
vehicle,6
shelf,6
waste container,6
human body,6
person,6
mammal,5
land vehicle,5
personal care,5
plant,5
washing machine,5
whiteboard,4
cream,4
drink,4
house,4
human arm,3
boy,3
convenience store,3
shirt,2
computer keyboard,2
wine,2
window,2
sports uniform,2
table,2
vehicle registration plate,2
traffic sign,1
guitar,1
box,1
camera,1
beer,1
barge,1
baked goods,1
wine glass,1
boat,1
salad,1
seafood,1
home appliance,1
plastic bag,1
computer monitor,1
dessert,1
office supplies,1
musical instrument,1
digital clock,1
dog,1
laptop,1
door,1
human face,1
fish,1
frog,1
furniture,1
animal,1
