object,count
book,26
plant,23
poster,22
man,12
building,11
computer monitor,6
woman,5
clothing,5
laptop,5
scale,5
person,5
calculator,5
window,4
camera,4
billboard,4
car,4
whiteboard,3
flower,3
house,3
mobile phone,2
boy,2
mammal,2
sports uniform,2
convenience store,2
home appliance,2
scoreboard,1
sculpture,1
sword,1
tank,1
remote control,1
vehicle,1
table,1
bench,1
picnic basket,1
office supplies,1
musical keyboard,1
land vehicle,1
bicycle,1
human head,1
human face,1
guitar,1
flag,1
envelope,1
dog,1
dagger,1
cassette deck,1
jacket,1
