object,count
poster,161
book,87
building,34
man,30
clothing,28
person,25
woman,20
mobile phone,18
car,12
computer monitor,10
billboard,10
plant,9
bottle,8
laptop,7
bus,7
house,5
whiteboard,5
mammal,5
office supplies,5
convenience store,5
girl,4
furniture,4
computer keyboard,4
bicycle,3
picture frame,3
boy,3
television,3
human body,3
coin,3
skyscraper,3
motorcycle,2
beer,2
vehicle,2
tire,2
tin can,2
wine,2
toy,2
wheel,2
office building,2
table,2
snack,2
plastic bag,2
shelf,2
human hair,2
bicycle wheel,2
boat,2
drink,2
desk,2
human arm,1
coffee cup,1
sculpture,1
dessert,1
crab,1
sports uniform,1
suit,1
cosmetics,1
tablet computer,1
cat,1
chopsticks,1
ring binder,1
tower,1
bread,1
train,1
truck,1
van,1
box,1
watch,1
bookcase,1
sandwich,1
dinosaur,1
houseplant,1
door,1
human face,1
home appliance,1
human head,1
ipod,1
juice,1
land vehicle,1
high heels,1
lobster,1
luggage and bags,1
helmet,1
helicopter,1
maple,1
headphones,1
hat,1
mug,1
musical keyboard,1
football helmet,1
food,1
filing cabinet,1
piano,1
fashion accessory,1
balloon,1
