object,count
poster,137
building,72
book,68
man,55
clothing,52
person,35
woman,30
computer monitor,20
house,18
car,17
plant,16
billboard,16
mobile phone,15
boat,13
girl,12
convenience store,11
office supplies,10
watch,9
door,8
bottle,8
bus,7
bookcase,7
boy,7
shelf,6
houseplant,5
picture frame,5
whiteboard,5
sports uniform,4
human body,4
vehicle,4
box,4
table,4
television,4
window,4
drink,4
human face,3
office building,3
truck,3
snack,3
cream,3
sculpture,3
motorcycle,3
cheese,3
personal care,3
balloon,3
furniture,3
spice rack,2
land vehicle,2
human head,2
refrigerator,2
cosmetics,2
flowerpot,2
flower,2
bed,2
bicycle,2
wine,2
dinosaur,2
van,2
tin can,2
coin,2
wall clock,1
ring binder,1
wine glass,1
wheel,1
scoreboard,1
watercraft,1
tablet computer,1
volleyball,1
vegetable,1
umbrella,1
remote control,1
toy,1
tower,1
suit,1
sunflower,1
tire,1
tripod,1
airplane,1
raven,1
palm tree,1
bicycle wheel,1
bread,1
cake,1
camera,1
candy,1
cat,1
chair,1
cocktail,1
coffee table,1
computer keyboard,1
corded phone,1
desk,1
digital clock,1
doll,1
dress,1
fast food,1
flag,1
flying disc,1
food,1
fountain,1
frog,1
human arm,1
baked goods,1
human hand,1
ipod,1
jacket,1
laptop,1
mammal,1
maple,1
human hair,1
