object,count
poster,117
man,59
book,47
building,44
clothing,33
person,33
cooking spray,25
car,24
woman,21
billboard,14
snack,14
mobile phone,11
bottle,11
bus,11
plant,10
whiteboard,8
convenience store,8
house,8
human body,8
drink,8
dairy,8
land vehicle,7
suit,6
girl,6
boy,5
picture frame,5
tablet computer,5
skyscraper,4
office supplies,4
toy,4
truck,4
food,4
laptop,4
beer,4
train,3
watch,3
door,3
personal care,3
parking meter,3
computer keyboard,3
shelf,3
flower,2
tire,2
sculpture,2
scoreboard,2
spice rack,2
boat,2
box,2
table,2
balloon,2
fast food,2
tank,2
camera,2
television,2
computer monitor,2
tin can,2
bookcase,2
mammal,2
flashlight,2
clock,2
fountain,2
cocktail,2
van,2
wheel,2
baked goods,1
wine,1
bicycle,1
wall clock,1
sports uniform,1
street light,1
window,1
violin,1
bicycle helmet,1
airplane,1
vehicle registration plate,1
vehicle,1
umbrella,1
auto part,1
tent,1
dessert,1
skull,1
remote control,1
couch,1
duck,1
fashion accessory,1
fish,1
footwear,1
glasses,1
guitar,1
headphones,1
coffee cup,1
human arm,1
kitchen appliance,1
aircraft,1
cattle,1
cart,1
motorcycle,1
musical instrument,1
musical keyboard,1
office building,1
palm tree,1
pen,1
butterfly,1
piano,1
plastic bag,1
porch,1
refrigerator,1
adhesive tape,1
