object,count
poster,191
building,83
book,63
billboard,22
computer monitor,17
man,16
mobile phone,15
house,11
plant,10
person,9
laptop,9
clothing,8
car,8
whiteboard,7
television,6
office building,6
table,5
bookcase,5
tablet computer,4
bus,4
snack,4
land vehicle,4
tin can,3
traffic sign,3
girl,3
convenience store,3
vehicle,3
drink,2
door,2
desk,2
musical instrument,2
truck,2
box,2
sculpture,2
tower,1
train,1
tennis ball,1
van,1
window,1
street light,1
auto part,1
shotgun,1
shelf,1
ring binder,1
porch,1
picture frame,1
office supplies,1
human face,1
human body,1
food,1
dairy,1
computer keyboard,1
candy,1
cake,1
cabinetry,1
boy,1
woman,1
