object,count
poster,39
book,30
building,19
man,15
person,13
clothing,11
house,6
woman,6
girl,6
car,5
drink,4
whiteboard,4
human body,3
computer monitor,3
skyscraper,3
boat,3
bottle,3
tin can,3
plant,2
table,2
picture frame,2
suit,2
vehicle,2
scoreboard,2
sculpture,2
human arm,2
airplane,2
boy,2
billboard,2
beer,2
bus,2
bookcase,2
box,2
shelf,1
shirt,1
snack,1
snake,1
sports uniform,1
tablet computer,1
bicycle wheel,1
bicycle,1
tower,1
toy,1
truck,1
bench,1
washing machine,1
watercraft,1
sheep,1
hair spray,1
fax,1
punching bag,1
door,1
human face,1
insect,1
kitchen & dining room table,1
land vehicle,1
auto part,1
luggage and bags,1
dairy,1
mobile phone,1
monkey,1
paddle,1
palm tree,1
pencil case,1
convenience store,1
cocktail,1
cat,1
porch,1
lantern,1
