object,count
building,35
book,27
poster,25
person,18
man,17
clothing,13
woman,10
barrel,6
drink,4
whiteboard,4
convenience store,4
car,3
computer keyboard,3
mammal,3
train,3
shelf,2
plant,2
remote control,2
mobile phone,2
laptop,2
auto part,2
human face,2
human body,2
boy,2
bookcase,2
tower,2
traffic sign,2
truck,2
van,2
camera,2
suit,1
sports uniform,1
shirt,1
platter,1
trombone,1
window,1
trumpet,1
ruler,1
watch,1
tin can,1
animal,1
plate,1
door,1
beer,1
boat,1
cart,1
chicken,1
coin,1
computer monitor,1
dairy,1
flag,1
picture frame,1
footwear,1
girl,1
handbag,1
handgun,1
house,1
human arm,1
office supplies,1
land vehicle,1
