object,count
poster,116
book,108
building,44
man,30
person,29
clothing,25
bottle,24
house,19
beer,15
bookcase,15
woman,14
shelf,12
car,9
vehicle,8
window,8
soap dispenser,7
whiteboard,7
hand dryer,6
furniture,6
wine,6
train,5
drink,5
computer monitor,5
convenience store,4
auto part,4
human body,4
land vehicle,4
girl,4
billboard,4
owl,3
tin can,3
van,3
skyscraper,3
snack,3
table,3
picture frame,3
jacket,3
computer keyboard,3
cricket ball,3
coffee,2
boy,2
camera,2
suit,2
plant,2
coffee cup,2
personal care,2
bus,2
office supplies,2
office building,2
tablet computer,2
mobile phone,2
tent,2
mammal,2
toy,2
box,2
truck,2
human arm,2
tire,1
bathroom accessory,1
baked goods,1
sports uniform,1
stairs,1
banana,1
suitcase,1
sword,1
bicycle,1
wheel,1
watch,1
tool,1
bicycle wheel,1
umbrella,1
tank,1
clock,1
chair,1
footwear,1
sink,1
closet,1
glasses,1
glove,1
fast food,1
home appliance,1
dress,1
houseplant,1
dairy,1
human face,1
human hair,1
ipod,1
airplane,1
lantern,1
laptop,1
lizard,1
cream,1
microphone,1
mug,1
crab,1
plastic bag,1
plate,1
flag,1
refrigerator,1
rose,1
aircraft,1
