object,count
poster,19
book,15
man,8
building,7
person,7
woman,6
computer monitor,6
clothing,5
whiteboard,3
house,2
snack,2
shelf,2
office supplies,2
laptop,2
human nose,2
baked goods,2
mobile phone,2
bottle,2
dessert,2
convenience store,2
car,2
box,1
wine,1
window,1
vase,1
truck,1
train,1
toy,1
tin can,1
television,1
suit,1
sports uniform,1
girl,1
bus,1
food,1
camera,1
plastic bag,1
pineapple,1
picture frame,1
office building,1
billboard,1
dairy,1
drink,1
human face,1
houseplant,1
scoreboard,1
