object,count
poster,68
book,46
shelf,18
convenience store,17
clothing,15
building,15
snack,14
man,13
woman,12
person,8
bookcase,6
bicycle,5
billboard,5
girl,4
car,4
human arm,4
mammal,4
whiteboard,4
human body,3
tin can,3
bottle,3
plant,3
mobile phone,2
office building,2
picture frame,2
wheel,2
lantern,2
land vehicle,2
beer,2
boy,2
furniture,2
food,2
fashion accessory,2
ice cream,1
wine,1
bicycle wheel,1
bird,1
weapon,1
train,1
tire,1
box,1
tablet computer,1
street light,1
sports equipment,1
christmas tree,1
skyscraper,1
human face,1
sculpture,1
ruler,1
computer monitor,1
dog,1
parking meter,1
footwear,1
motorcycle,1
horse,1
house,1
infant bed,1
