object,count
bus,424
poster,379
book,147
building,71
man,58
clothing,52
person,46
train,42
woman,34
car,26
plant,23
land vehicle,22
auto part,19
billboard,17
bottle,17
house,16
boy,13
envelope,13
tin can,12
mobile phone,11
drink,9
shelf,9
van,9
computer monitor,9
beer,8
suit,8
bookcase,8
girl,8
mammal,7
skyscraper,7
airplane,7
table,6
vehicle,6
boat,6
truck,6
laptop,5
snack,5
mug,5
flag,4
human body,4
motorcycle,4
christmas tree,4
window,4
picture frame,4
human face,3
traffic sign,3
tablet computer,3
office building,3
sports uniform,3
watercraft,3
guitar,3
coffee cup,3
convenience store,3
wine,2
tower,2
parking meter,2
cart,2
ring binder,2
television,2
salad,2
teddy bear,2
scoreboard,2
tent,2
vehicle registration plate,2
taxi,2
sandwich,2
door,2
doll,2
human arm,2
desk,2
necklace,1
baked goods,1
home appliance,1
helmet,1
hat,1
glove,1
ball,1
tire,1
furniture,1
frog,1
tableware,1
umbrella,1
animal,1
fish,1
fast food,1
washing machine,1
fashion accessory,1
wheel,1
dog,1
tank,1
horse,1
office supplies,1
ambulance,1
maple,1
cat,1
dress,1
coin,1
camera,1
pumpkin,1
luggage and bags,1
rocket,1
human head,1
curtain,1
human hand,1
seafood,1
human hair,1
ski,1
bicycle wheel,1
houseplant,1
barrel,1
suitcase,1
kitchen appliance,1
