object,count
poster,47
clothing,33
woman,32
man,32
book,25
person,16
building,12
car,11
girl,9
bottle,6
land vehicle,6
human body,5
computer monitor,5
whiteboard,4
house,4
mammal,4
office building,3
toy,3
bus,2
suit,2
sculpture,2
skyscraper,2
drink,2
watch,2
washing machine,2
table,2
sports uniform,2
jacket,2
mobile phone,2
laptop,2
plant,2
fountain,1
snake,1
traffic sign,1
tin can,1
train,1
truck,1
vehicle,1
vehicle registration plate,1
balloon,1
window,1
boat,1
office supplies,1
picture frame,1
clock,1
furniture,1
fashion accessory,1
coffee cup,1
human face,1
human head,1
human leg,1
human nose,1
lifejacket,1
boy,1
light bulb,1
animal,1
microphone,1
miniskirt,1
motorcycle,1
mug,1
fruit,1
airplane,1
