object,count
building,79
man,51
poster,49
clothing,43
car,34
bottle,33
person,32
woman,28
book,28
truck,21
snack,21
van,20
convenience store,18
land vehicle,18
food,16
billboard,16
juice,15
drink,14
girl,12
house,11
human body,7
dairy,7
tin can,6
train,6
beer,6
vehicle,5
whiteboard,5
toy,4
plant,4
mammal,4
window,4
refrigerator,3
table,3
fashion accessory,3
ice cream,3
cabinetry,3
computer monitor,3
door,3
doll,3
bus,3
boy,3
box,3
boat,3
spoon,2
ski,2
suit,2
suitcase,2
tent,2
picture frame,2
motorcycle,2
airplane,2
christmas tree,2
ambulance,2
human face,2
umbrella,2
watch,2
cosmetics,2
surfboard,1
wine,1
baked goods,1
balloon,1
sun hat,1
sunglasses,1
blender,1
swimwear,1
banana,1
bicycle wheel,1
tool,1
traffic sign,1
spice rack,1
waste container,1
drum,1
snowboard,1
mixer,1
fast food,1
flower,1
dinosaur,1
handbag,1
home appliance,1
desk,1
human arm,1
curtain,1
kitchen appliance,1
coffeemaker,1
office building,1
skull,1
palm tree,1
chair,1
cart,1
canoe,1
calculator,1
rifle,1
salad,1
seat belt,1
elephant,1
shotgun,1
shelf,1
