object,count
poster,83
mobile phone,31
book,20
clothing,17
man,17
person,16
woman,9
building,9
house,7
bottle,6
computer monitor,6
laptop,5
office building,4
human body,4
billboard,4
girl,4
table,3
land vehicle,3
desk,3
whiteboard,2
tower,2
television,2
window,2
shelf,2
wine,2
musical instrument,2
boat,2
mammal,2
jeans,2
airplane,2
car,2
corded phone,2
drink,2
boy,1
tin can,1
dessert,1
skyscraper,1
snack,1
suit,1
bus,1
tent,1
tire,1
scoreboard,1
computer keyboard,1
watch,1
wheel,1
calculator,1
cart,1
wine glass,1
sculpture,1
scarf,1
ipod,1
dress,1
jacket,1
footwear,1
flag,1
auto part,1
drum,1
bookcase,1
medical equipment,1
cannon,1
sandwich,1
office supplies,1
pastry,1
door,1
picture frame,1
plant,1
beer,1
refrigerator,1
camera,1
