object,count
poster,78
book,49
man,31
clothing,30
person,24
building,24
woman,16
television,15
girl,11
computer monitor,10
bottle,7
whiteboard,7
table,6
house,6
mammal,6
car,5
boy,5
billboard,5
mobile phone,5
snack,5
land vehicle,4
calculator,4
plant,4
drink,4
shelf,4
convenience store,4
laptop,3
tablet computer,3
remote control,3
airplane,3
human body,3
bookcase,3
home appliance,2
wine,2
train,2
sports uniform,2
sculpture,2
office supplies,2
bus,2
corded phone,2
coffee cup,1
toy,1
coin,1
food,1
strawberry,1
swimming pool,1
boat,1
bench,1
tank,1
beer,1
fashion accessory,1
box,1
truck,1
umbrella,1
vegetable,1
vehicle,1
watch,1
barge,1
window,1
skyscraper,1
hamburger,1
human arm,1
cake stand,1
baked goods,1
human nose,1
kitchen appliance,1
christmas tree,1
chair,1
canoe,1
camera,1
mixing bowl,1
motorcycle,1
scoreboard,1
mug,1
helmet,1
cake,1
picture frame,1
bust,1
dessert,1
refrigerator,1
bread,1
dairy,1
