object,count
poster,89
man,49
clothing,37
book,34
building,24
woman,24
person,20
billboard,11
mobile phone,11
car,10
bottle,9
whiteboard,8
human body,8
mammal,8
convenience store,6
shelf,6
boy,6
house,6
computer monitor,5
bus,5
girl,4
television,4
scoreboard,4
bookcase,4
human face,4
plastic bag,3
drink,3
vehicle,3
laptop,3
window,3
wine,3
snack,3
rugby ball,2
office building,2
office supplies,2
pen,2
tent,2
truck,2
auto part,2
flag,2
suit,2
weapon,2
tin can,2
boat,2
food,2
vehicle registration plate,2
sock,1
wheel,1
watch,1
remote control,1
toy,1
train,1
tower,1
tire,1
seafood,1
table,1
shirt,1
skyscraper,1
plate,1
airplane,1
plant,1
dairy,1
baked goods,1
bed,1
beer,1
bicycle,1
bicycle wheel,1
box,1
camera,1
candy,1
caterpillar,1
cheese,1
cocktail,1
coin,1
cosmetics,1
doll,1
piano,1
fashion accessory,1
fast food,1
fish,1
handgun,1
helmet,1
hiking equipment,1
home appliance,1
ice cream,1
animal,1
ladder,1
land vehicle,1
motorcycle,1
mug,1
kitchen appliance,1
