object,count
poster,402
building,238
man,182
clothing,109
woman,102
person,92
book,75
house,59
billboard,55
convenience store,52
girl,44
drink,41
bottle,40
shelf,35
bus,35
snack,31
mobile phone,27
car,25
plant,23
tin can,20
human body,18
dairy,16
computer monitor,14
door,14
mammal,13
boy,12
tablet computer,12
van,12
toy,11
box,10
land vehicle,10
whiteboard,9
cooking spray,8
window,8
truck,7
tent,7
food,7
tower,7
office building,7
bookcase,6
wheel,6
table,6
traffic sign,6
furniture,5
desk,5
picture frame,5
bicycle wheel,5
vehicle,5
skyscraper,4
jacket,4
balloon,4
human face,4
beer,4
human arm,4
tire,4
television,4
laptop,4
waste container,4
human hand,3
motorcycle,3
cookie,3
plastic bag,3
boat,3
dessert,3
camera,3
flag,3
seafood,2
human head,2
rose,2
human hair,2
sculpture,2
doll,2
coffee cup,2
countertop,2
bicycle,2
chair,2
closet,2
animal,2
cosmetics,2
baked goods,2
fashion accessory,2
fast food,2
wine,2
suit,2
guitar,2
helmet,2
vehicle registration plate,1
watch,1
waffle,1
shotgun,1
train,1
refrigerator,1
scissors,1
scoreboard,1
taxi,1
pizza,1
ambulance,1
personal care,1
cabinetry,1
cream,1
couch,1
coffeemaker,1
coffee,1
cattle,1
carrot,1
candy,1
bronze sculpture,1
parking meter,1
bow and arrow,1
bird,1
bench,1
bat,1
banana,1
ball,1
auto part,1
curtain,1
drum,1
elephant,1
fish,1
paper towel,1
palm tree,1
milk,1
kitchen knife,1
kitchen appliance,1
juice,1
ipod,1
ice cream,1
human leg,1
horse,1
high heels,1
handgun,1
frying pan,1
footwear,1
flower,1
home appliance,1
