object,count
poster,92
clothing,50
book,43
woman,42
man,41
person,37
building,14
whiteboard,10
girl,9
bookcase,6
billboard,6
shelf,5
sports uniform,5
television,5
toy,5
laptop,4
land vehicle,4
mammal,4
human arm,4
human body,4
office building,4
bottle,3
suit,3
boy,3
house,3
van,3
plant,3
table,2
tent,2
tin can,2
weapon,2
palm tree,2
auto part,2
baked goods,2
helmet,2
box,2
car,2
mobile phone,2
jacket,2
human face,1
infant bed,1
wine glass,1
wine,1
window,1
bicycle,1
wheel,1
blender,1
truck,1
camera,1
tool,1
tire,1
personal care,1
computer monitor,1
dog,1
mixer,1
flag,1
swimwear,1
fountain,1
stationary bicycle,1
handbag,1
sports equipment,1
skyscraper,1
shirt,1
tableware,1
