object,count
poster,130
man,84
clothing,56
woman,40
person,29
book,23
building,17
car,13
computer monitor,13
truck,13
van,11
bottle,11
human body,11
ambulance,8
land vehicle,8
bus,8
house,7
laptop,7
table,6
mammal,6
shelf,6
office building,6
plant,6
bookcase,6
drink,5
girl,5
whiteboard,5
motorcycle,4
mobile phone,4
billboard,4
vehicle,4
box,4
desk,3
suit,3
auto part,2
wine,2
tent,2
convenience store,2
boy,2
tin can,2
sports uniform,1
tablet computer,1
remote control,1
television,1
tie,1
picture frame,1
toy,1
refrigerator,1
wine rack,1
vehicle registration plate,1
airplane,1
pen,1
office supplies,1
billiard table,1
boat,1
brassiere,1
cake,1
camera,1
crab,1
door,1
fashion accessory,1
flag,1
footwear,1
furniture,1
guitar,1
helicopter,1
human face,1
human head,1
insect,1
jeans,1
lantern,1
muffin,1
jacket,1
