object,count
poster,120
book,47
person,32
clothing,30
man,28
woman,26
building,17
billboard,15
office building,11
human body,10
land vehicle,9
mammal,8
desk,7
suit,6
plant,6
girl,6
bookcase,6
computer monitor,6
car,5
bus,5
boy,5
shelf,4
table,3
human face,3
train,2
mobile phone,2
drink,2
jeans,1
bottle,1
tablet computer,1
television,1
tent,1
toy,1
traffic sign,1
truck,1
swimming pool,1
van,1
vehicle,1
vehicle registration plate,1
wheel,1
whiteboard,1
window,1
box,1
sun hat,1
laptop,1
convenience store,1
sports uniform,1
skyscraper,1
doll,1
sculpture,1
scoreboard,1
fashion accessory,1
picture frame,1
glove,1
office supplies,1
handbag,1
bicycle wheel,1
house,1
human head,1
auto part,1
