object,count
book,20
man,17
building,14
poster,13
person,12
clothing,9
woman,6
calculator,4
boy,3
billboard,3
car,3
plant,3
bottle,3
fish,3
mobile phone,3
shelf,3
bookcase,2
beer,2
television,2
whiteboard,2
suit,2
human body,2
snack,2
land vehicle,2
toy,2
girl,2
drink,2
truck,2
bicycle,2
tin can,1
table,1
van,1
sports uniform,1
vehicle,1
wheelchair,1
train,1
airplane,1
seafood,1
picture frame,1
pen,1
motorcycle,1
mammal,1
auto part,1
food,1
flower,1
door,1
dessert,1
crab,1
cosmetics,1
computer keyboard,1
baked goods,1
lantern,1
