object,count
book,87
poster,81
man,77
truck,55
clothing,52
building,46
person,37
woman,28
plant,19
car,18
land vehicle,15
bottle,14
shelf,11
human body,9
picture frame,9
bus,8
house,8
wine,8
camera,7
bookcase,7
billboard,6
vehicle,6
drink,5
table,5
human arm,5
mammal,5
boy,5
whiteboard,4
sports uniform,3
girl,3
baked goods,3
tire,3
television,3
monkey,3
blender,3
mobile phone,3
scale,3
scoreboard,3
suit,3
mixer,3
cake,3
human face,3
office building,2
boat,2
box,2
tablet computer,2
beer,2
skyscraper,2
toy,2
train,2
guitar,2
desk,2
juice,2
jacket,2
auto part,2
van,2
convenience store,2
computer monitor,2
furniture,2
wheel,2
sock,1
window blind,1
window,1
balloon,1
watch,1
tableware,1
traffic sign,1
tent,1
vehicle registration plate,1
tower,1
umbrella,1
ball,1
couch,1
personal care,1
snack,1
sculpture,1
dress,1
flower,1
food,1
fruit,1
harp,1
horse,1
cheese,1
castle,1
human head,1
insect,1
laptop,1
airplane,1
measuring cup,1
mechanical fan,1
office supplies,1
palm tree,1
parking meter,1
perfume,1
cupboard,1
bicycle wheel,1
printer,1
aircraft,1
