object,count
book,125
poster,80
man,23
clothing,21
bookcase,21
person,19
television,18
shelf,16
woman,15
computer monitor,11
remote control,11
building,5
mobile phone,5
billboard,5
table,4
desk,3
sports uniform,3
suit,3
human body,2
girl,2
camera,2
convenience store,2
tablet computer,1
tent,1
watch,1
traffic sign,1
vehicle registration plate,1
whiteboard,1
sewing machine,1
washing machine,1
auto part,1
picture frame,1
office supplies,1
office building,1
lamp,1
jeans,1
human arm,1
houseplant,1
house,1
furniture,1
flower,1
car,1
bus,1
box,1
land vehicle,1
