object,count
poster,34
building,30
shelf,26
car,20
convenience store,18
man,16
person,14
clothing,13
billboard,12
computer monitor,11
television,9
woman,9
book,7
girl,5
mobile phone,4
suit,4
table,3
remote control,3
snack,3
bus,3
tablet computer,3
drink,3
scale,3
truck,3
office building,3
vehicle registration plate,2
slow cooker,2
horse,2
house,2
umbrella,2
medical equipment,2
box,2
computer mouse,2
window,1
wheel,1
shirt,1
vehicle,1
sofa bed,1
studio couch,1
tower,1
train,1
tire,1
airplane,1
plastic bag,1
fast food,1
bicycle,1
bicycle wheel,1
bookcase,1
camera,1
couch,1
dog,1
door handle,1
dress,1
fruit,1
picture frame,1
helmet,1
land vehicle,1
laptop,1
mammal,1
auto part,1
mug,1
office supplies,1
oven,1
microwave oven,1
