object,count
clothing,76
man,60
poster,43
woman,39
person,34
boy,19
building,14
human body,14
girl,10
mammal,8
plant,8
book,7
whiteboard,7
helmet,6
tin can,6
car,4
picture frame,4
jacket,4
house,4
billboard,3
hiking equipment,3
land vehicle,3
bottle,3
furniture,2
food,2
tent,2
truck,2
human arm,2
table,2
sports uniform,2
palm tree,1
vehicle,1
shirt,1
vehicle registration plate,1
weapon,1
window,1
wine,1
boat,1
bus,1
mug,1
fashion accessory,1
chair,1
clock,1
coat,1
coffee cup,1
computer monitor,1
dress,1
flag,1
mobile phone,1
home appliance,1
backpack,1
human hair,1
kitchen appliance,1
cannon,1
laptop,1
airplane,1
