object,count
poster,87
man,37
person,36
clothing,35
book,25
building,25
drum,14
woman,13
house,8
girl,7
billboard,7
plant,7
boy,6
land vehicle,5
car,4
bus,4
box,3
musical instrument,3
mammal,3
flag,3
hat,3
remote control,2
table,2
tent,2
truck,2
jeans,2
whiteboard,2
human body,2
window,2
airplane,2
bookcase,2
camera,2
boat,2
television,1
cart,1
scoreboard,1
snack,1
bottle,1
tablet computer,1
guitar,1
picture frame,1
van,1
vehicle,1
watch,1
bicycle helmet,1
bicycle,1
wine glass,1
computer monitor,1
desk,1
footwear,1
office supplies,1
helicopter,1
baked goods,1
flower,1
fashion accessory,1
human head,1
infant bed,1
ipod,1
jacket,1
drinking straw,1
ladder,1
drink,1
dress,1
door,1
mobile phone,1
dinosaur,1
helmet,1
