object,count
poster,195
book,112
man,64
clothing,56
building,48
person,43
car,41
woman,38
plant,22
land vehicle,19
bottle,17
billboard,16
girl,13
house,13
human body,11
camera,10
shelf,9
auto part,9
wine,9
bookcase,8
boy,8
boat,7
drink,7
beer,6
mammal,6
truck,5
suit,5
box,5
sports uniform,5
tin can,4
bus,4
tower,4
laptop,3
office building,3
television,3
refrigerator,3
train,3
furniture,3
mobile phone,3
picture frame,3
wheel,3
window,2
whiteboard,2
table,2
vehicle registration plate,2
rugby ball,2
tent,2
snack,2
van,2
jacket,2
human arm,2
human head,2
human leg,2
calculator,2
curtain,2
computer monitor,2
coffee cup,1
fashion accessory,1
dress,1
tire,1
toy,1
traffic sign,1
lifejacket,1
chest of drawers,1
flower,1
umbrella,1
cheese,1
vehicle,1
cart,1
cake,1
bicycle,1
bench,1
teddy bear,1
football,1
sunglasses,1
human face,1
motorcycle,1
mug,1
musical keyboard,1
human hand,1
palm tree,1
pen,1
human hair,1
home appliance,1
footwear,1
printer,1
hat,1
handgun,1
sandwich,1
scoreboard,1
goggles,1
glasses,1
airplane,1
