object,count
building,343
house,208
poster,196
book,108
man,65
person,37
woman,37
clothing,33
plant,21
billboard,20
human body,19
bus,18
bookcase,17
bottle,17
shelf,16
suit,15
window,14
skyscraper,12
car,11
television,11
girl,9
door,9
wine,8
mammal,8
land vehicle,8
whiteboard,6
truck,6
snack,6
tower,5
traffic sign,5
beer,5
tablet computer,5
picture frame,5
van,5
table,5
computer monitor,4
human leg,4
boat,4
flower,3
houseplant,3
box,3
bowling equipment,3
drink,3
doll,3
convenience store,3
porch,3
boy,3
mobile phone,2
office building,2
office supplies,2
perfume,2
auto part,2
food,2
chair,2
vehicle,2
cake,2
guitar,2
furniture,2
coffee cup,2
tin can,2
desk,2
street light,1
train,1
refrigerator,1
rose,1
saucer,1
wine glass,1
toy,1
scoreboard,1
watercraft,1
pumpkin,1
tap,1
tableware,1
snake,1
sports uniform,1
vehicle registration plate,1
accordion,1
plate,1
fashion accessory,1
ball,1
balloon,1
bench,1
bicycle,1
butterfly,1
camera,1
chicken,1
coat,1
cocktail,1
corded phone,1
dog,1
drum,1
face powder,1
fast food,1
pizza,1
flag,1
handbag,1
home appliance,1
human arm,1
human head,1
human nose,1
laptop,1
luggage and bags,1
motorcycle,1
muffin,1
mug,1
palm tree,1
picnic basket,1
jacket,1
