object,count
poster,55
man,24
book,18
clothing,16
woman,15
toy,14
building,12
person,12
camera,11
box,10
girl,6
bottle,6
mobile phone,6
car,6
convenience store,5
land vehicle,5
snack,4
whiteboard,4
rifle,3
table,3
human body,3
tin can,3
picture frame,2
van,2
vehicle,2
weapon,2
mammal,2
auto part,2
laptop,2
human arm,2
computer keyboard,2
house,2
computer monitor,2
cricket ball,2
tire,1
suit,1
coffee,1
tablet computer,1
cattle,1
tool,1
coffee cup,1
cannon,1
bus,1
boy,1
billboard,1
bicycle,1
window,1
sports uniform,1
human face,1
scoreboard,1
sandal,1
human hand,1
plate,1
plant,1
door,1
oyster,1
office supplies,1
mug,1
motorcycle,1
footwear,1
high heels,1
banana,1
ipod,1
rose,1
