object,count
poster,92
book,58
building,46
man,28
clothing,27
person,22
woman,16
car,13
bottle,13
cooking spray,12
house,9
land vehicle,8
snack,7
billboard,7
wine,7
plant,7
bus,6
girl,5
beer,5
tin can,4
mammal,4
mobile phone,4
picture frame,4
boy,4
drink,3
whiteboard,3
human body,3
human face,3
office supplies,3
door,3
chainsaw,3
barrel,3
camera,3
computer keyboard,2
bicycle wheel,2
wheel,2
auto part,2
bookcase,2
jeans,2
truck,2
train,2
shelf,2
computer monitor,2
convenience store,2
sports uniform,2
furniture,2
television,2
bicycle,2
envelope,2
tablet computer,1
tire,1
window,1
vehicle registration plate,1
toy,1
plate,1
table,1
traffic sign,1
vehicle,1
refrigerator,1
remote control,1
sunglasses,1
suit,1
skyscraper,1
ski,1
accordion,1
necklace,1
mug,1
balloon,1
banjo,1
bench,1
boat,1
box,1
candle,1
carnivore,1
cart,1
cat,1
clock,1
coffee cup,1
coin,1
dairy,1
drum,1
eagle,1
flag,1
flowerpot,1
giraffe,1
guitar,1
handgun,1
ambulance,1
helmet,1
houseplant,1
human arm,1
human hair,1
juice,1
laptop,1
headphones,1
