object,count
poster,293
book,164
man,129
clothing,93
woman,79
building,69
person,62
bottle,32
shelf,31
drink,28
girl,26
billboard,25
bookcase,25
plant,20
human body,18
car,17
mammal,13
house,12
land vehicle,11
tin can,10
table,9
bus,9
boy,9
whiteboard,9
convenience store,8
human face,8
personal care,7
snack,7
picture frame,7
truck,7
television,6
vehicle,6
toy,6
human arm,6
mobile phone,5
suit,5
laptop,5
human hand,5
boat,5
window,5
auto part,5
tablet computer,4
office building,4
pastry,4
animal,4
jacket,4
coffee cup,4
furniture,4
hat,3
dessert,3
mug,3
door,3
skyscraper,3
fashion accessory,3
box,3
van,3
balloon,3
vehicle registration plate,3
wheel,3
tank,2
bicycle,2
sports uniform,2
traffic sign,2
sculpture,2
sandwich,2
cutting board,2
ambulance,2
office supplies,2
human head,2
flower,2
palm tree,1
human hair,1
beer,1
tire,1
bed,1
fountain,1
train,1
bear,1
umbrella,1
frog,1
teapot,1
glasses,1
wall clock,1
watch,1
guitar,1
wheelchair,1
baked goods,1
axe,1
wine,1
teddy bear,1
tableware,1
ipod,1
envelope,1
pen,1
desk,1
dog,1
computer monitor,1
computer keyboard,1
motorcycle,1
refrigerator,1
dress,1
horse,1
parachute,1
shirt,1
lifejacket,1
cat,1
stairs,1
butterfly,1
sun hat,1
footwear,1
bicycle wheel,1
chair,1
